progress_id,student_id,event_id,lab_number,status,prepared,attendance,inlab_submitted_at,inlab_submission_link,polished_submitted_at,polished_submission_link,instructor_assessment,self_assessment,late
C002-L03-L02,C002,L03-L02,2,In Progress,True,Present,2025-09-16 19:40,https://submit.bcit.ca/comp2714/inlab/C002-L03-L02.pdf,,,,,False
C003-L03-L01,C003,L03-L01,1,Submitted,True,Present,2025-09-09 19:45,https://submit.bcit.ca/comp2714/inlab/C003-L03-L01.pdf,2025-09-10 21:45,https://submit.bcit.ca/comp2714/polished/C003-L03-L01.pdf,8.5,8.2,False
C003-L03-L02,C003,L03-L02,2,Submitted,False,Present,2025-09-16 19:35,https://submit.bcit.ca/comp2714/inlab/C003-L03-L02.pdf,2025-09-18 20:35,https://submit.bcit.ca/comp2714/polished/C003-L03-L02.pdf,7.0,6.7,False
D001-L04-L01,D001,L04-L01,1,Submitted,True,Present,2025-09-10 10:45,https://submit.bcit.ca/comp2714/inlab/D001-L04-L01.pdf,2025-09-11 12:45,https://submit.bcit.ca/comp2714/polished/D001-L04-L01.pdf,8.5,8.2,False
D001-L04-L02,D001,L04-L02,2,Submitted,True,Present,2025-09-17 10:35,https://submit.bcit.ca/comp2714/inlab/D001-L04-L02.pdf,2025-09-19 11:35,https://submit.bcit.ca/comp2714/polished/D001-L04-L02.pdf,7.0,6.7,False
D002-L04-L01,D002,L04-L01,1,Submitted,True,Present,2025-09-10 10:45,https://submit.bcit.ca/comp2714/inlab/D002-L04-L01.pdf,2025-09-11 12:45,https://submit.bcit.ca/comp2714/polished/D002-L04-L01.pdf,8.5,8.2,False
D002-L04-L02,D002,L04-L02,2,In Progress,True,Present,2025-09-17 10:40,https://submit.bcit.ca/comp2714/inlab/D002-L04-L02.pdf,,,,,False
D003-L04-L01,D003,L04-L01,1,Submitted,True,Present,2025-09-10 10:45,https://submit.bcit.ca/comp2714/inlab/D003-L04-L01.pdf,2025-09-11 12:45,https://submit.bcit.ca/comp2714/polished/D003-L04-L01.pdf,8.5,8.2,False
D003-L04-L02,D003,L04-L02,2,Submitted,False,Present,2025-09-17 10:35,https://submit.bcit.ca/comp2714/inlab/D003-L04-L02.pdf,2025-09-19 11:35,https://submit.bcit.ca/comp2714/polished/D003-L04-L02.pdf,7.0,6.7,False
E001-L05-L01,E001,L05-L01,1,Submitted,True,Present,2025-09-10 14:45,https://submit.bcit.ca/comp2714/inlab/E001-L05-L01.pdf,2025-09-11 16:45,https://submit.bcit.ca/comp2714/polished/E001-L05-L01.pdf,8.5,8.2,False
E001-L05-L02,E001,L05-L02,2,Submitted,True,Present,2025-09-17 14:35,https://submit.bcit.ca/comp2714/inlab/E001-L05-L02.pdf,2025-09-19 15:35,https://submit.bcit.ca/comp2714/polished/E001-L05-L02.pdf,7.0,6.7,False
E002-L05-L01,E002,L05-L01,1,Submitted,True,Present,2025-09-10 14:45,https://submit.bcit.ca/comp2714/inlab/E002-L05-L01.pdf,2025-09-11 16:45,https://submit.bcit.ca/comp2714/polished/E002-L05-L01.pdf,8.5,8.2,False
E002-L05-L02,E002,L05-L02,2,In Progress,True,Present,2025-09-17 14:40,https://submit.bcit.ca/comp2714/inlab/E002-L05-L02.pdf,,,,,False
E003-L05-L01,E003,L05-L01,1,Submitted,True,Present,2025-09-10 14:45,https://submit.bcit.ca/comp2714/inlab/E003-L05-L01.pdf,2025-09-11 16:45,https://submit.bcit.ca/comp2714/polished/E003-L05-L01.pdf,8.5,8.2,False
E003-L05-L02,E003,L05-L02,2,Submitted,False,Present,2025-09-17 14:35,https://submit.bcit.ca/comp2714/inlab/E003-L05-L02.pdf,2025-09-19 15:35,https://submit.bcit.ca/comp2714/polished/E003-L05-L02.pdf,7.0,6.7,False
F001-L06-L01,F001,L06-L01,1,Submitted,True,Present,2025-09-11 19:45,https://submit.bcit.ca/comp2714/inlab/F001-L06-L01.pdf,2025-09-12 21:45,https://submit.bcit.ca/comp2714/polished/F001-L06-L01.pdf,8.5,8.2,False
F001-L06-L02,F001,L06-L02,2,Submitted,True,Present,2025-09-18 19:35,https://submit.bcit.ca/comp2714/inlab/F001-L06-L02.pdf,2025-09-20 20:35,https://submit.bcit.ca/comp2714/polished/F001-L06-L02.pdf,7.0,6.7,False
F002-L06-L01,F002,L06-L01,1,Submitted,True,Present,2025-09-11 19:45,https://submit.bcit.ca/comp2714/inlab/F002-L06-L01.pdf,2025-09-12 21:45,https://submit.bcit.ca/comp2714/polished/F002-L06-L01.pdf,8.5,8.2,False
F002-L06-L02,F002,L06-L02,2,In Progress,True,Present,2025-09-18 19:40,https://submit.bcit.ca/comp2714/inlab/F002-L06-L02.pdf,,,,,False
F003-L06-L01,F003,L06-L01,1,Submitted,True,Present,2025-09-11 19:45,https://submit.bcit.ca/comp2714/inlab/F003-L06-L01.pdf,2025-09-12 21:45,https://submit.bcit.ca/comp2714/polished/F003-L06-L01.pdf,8.5,8.2,False
F003-L06-L02,F003,L06-L02,2,Submitted,False,Present,2025-09-18 19:35,https://submit.bcit.ca/comp2714/inlab/F003-L06-L02.pdf,2025-09-20 20:35,https://submit.bcit.ca/comp2714/polished/F003-L06-L02.pdf,7.0,6.7,False
